Designator,Mid X,Mid Y,Rotation,Layer
C1_2,25.781,-22.3525,90.0,top
C1,25.781,-73.2025,90.0,top
D1_2,70.502091,-79.041017,270.0,top
D1,70.502091,-28.191017,270.0,top
D10_2,63.627,-1.63,0.0,top
D10,63.627,-52.48,0.0,top
D11_2,42.545,-72.053,270.0,top
D11,42.545,-21.203,270.0,top
D2_2,33.655,-96.295,180.0,top
D2,33.655,-45.445,180.0,top
D3_2,60.833,-45.445,180.0,top
D3,60.833,-96.295,180.0,top
D4_2,27.575,-96.295,180.0,top
D4,27.575,-45.445,180.0,top
D5_2,55.515,-45.445,180.0,top
D5,55.515,-96.295,180.0,top
D6_2,70.450817,-19.771215,270.0,top
D6,70.450817,-70.621215,270.0,top
D7_2,39.751,-96.295,180.0,top
D7,39.751,-45.445,180.0,top
D8_2,44.45,-96.295,180.0,top
D8,44.45,-45.445,180.0,top
D9_2,49.165,-45.445,180.0,top
D9,49.165,-96.295,180.0,top
J1_2,60.325,-78.885,0.0,top
J1,60.325,-28.035,0.0,top
J10_2,31.98,-9.18,180.0,top
J10,31.98,-60.03,180.0,top
J11_2,48.133,-54.258,0.0,top
J11,48.133,-3.408,0.0,top
J12_2,3.429,-10.647,270.0,top
J12,3.429,-61.497,270.0,top
J13_2,49.657,-62.132,90.0,top
J13,49.657,-11.282,90.0,top
J14_2,60.579,-10.286235,270.0,top
J14,60.579,-61.136235,270.0,top
J15_2,68.961,-10.286235,270.0,top
J15,68.961,-61.136235,270.0,top
J16_2,55.753,-54.258,0.0,top
J16,55.753,-3.408,0.0,top
J17_2,48.133,-59.211,90.0,top
J17,48.133,-8.361,90.0,top
J18_2,3.429,-68.609,270.0,top
J18,3.429,-17.759,270.0,top
J2_2,65.405,-28.035,270.0,top
J2,65.405,-78.885,270.0,top
J3_2,50.085,-36.555,180.0,top
J3,50.085,-87.405,180.0,top
J4_2,21.59,-87.405,180.0,top
J4,21.59,-36.555,180.0,top
J5_2,33.615,-87.405,180.0,top
J5,33.615,-36.555,180.0,top
J6_2,61.555,-87.405,180.0,top
J6,61.555,-36.555,180.0,top
J7_2,60.325,-71.265,0.0,top
J7,60.325,-20.415,0.0,top
J8_2,65.405,-20.415,270.0,top
J8,65.405,-71.265,270.0,top
J9_2,12.93,-60.03,180.0,top
J9,12.93,-9.18,180.0,top
LS1_2,49.07,-22.585,0.0,top
LS1,49.07,-73.435,0.0,top
Q1_2,41.45,-25.76,0.0,top
Q1,41.45,-76.61,0.0,top
R1_2,70.502091,-82.726017,90.0,top
R1,70.502091,-31.876017,90.0,top
R10_2,10.795,-26.903,0.0,top
R10,10.795,-77.753,0.0,top
R11_2,63.627,-4.805,0.0,top
R11,63.627,-55.655,0.0,top
R12_2,35.179,-76.61,270.0,top
R12,35.179,-25.76,270.0,top
R13_2,37.719,-25.76,90.0,top
R13,37.719,-76.61,90.0,top
R14_2,25.781,-68.863,90.0,top
R14,25.781,-18.013,90.0,top
R2_2,33.655,-93.11,180.0,top
R2,33.655,-42.26,180.0,top
R3_2,60.833,-42.26,180.0,top
R3,60.833,-93.11,180.0,top
R4_2,27.575,-42.26,180.0,top
R4,27.575,-93.11,180.0,top
R5_2,55.515,-93.11,180.0,top
R5,55.515,-42.26,180.0,top
R6_2,70.450817,-23.597215,90.0,top
R6,70.450817,-74.447215,90.0,top
R7_2,39.751,-42.28,180.0,top
R7,39.751,-93.13,180.0,top
R8_2,44.45,-42.27,180.0,top
R8,44.45,-93.12,180.0,top
R9_2,49.165,-93.12,180.0,top
R9,49.165,-42.27,180.0,top
SW1_2,10.795,-44.175,270.0,top
SW1,10.795,-95.025,270.0,top
SW2_2,15.875,-95.025,270.0,top
SW2,15.875,-44.175,270.0,top
SW3_2,20.955,-44.175,270.0,top
SW3,20.955,-95.025,270.0,top
SW4_2,4.080654,-77.499,0.0,top
SW4,4.080654,-26.649,0.0,top
SW5_2,4.064,-34.523,0.0,top
SW5,4.064,-85.373,0.0,top
U1_2,32.385,-22.585,90.0,top
U1,32.385,-73.435,90.0,top
U2_2,22.215,-26.385,180.0,top
U2,22.215,-77.235,180.0,top
